"target_flag","kidsdriv","homekids","parent1","mstatus","sex","education","travtime","car_use","bluebook","tif","car_type","red_car","oldclaim","clm_freq","revoked","mvr_pts","urbanicity","car_age","yoj","income","age","job"
"0",0,0,"N","N","M","PhD",14,"Private",14230,11,"Minivan","Y",4461,2,"N",3,"Urban",18,11,67349,60,"white_collar"
"0",0,0,"N","N","M","High School",22,"Commercial",14940,1,"Minivan","Y",0,0,"N",0,"Urban",1,11,91449,43,"not_white_collar"
"0",0,1,"N","Y","F","High School",5,"Private",4010,4,"SUV","N",38690,2,"N",3,"Urban",10,10,16039,35,"not_white_collar"
"0",0,0,"N","Y","M","High School",32,"Private",15440,7,"Minivan","Y",0,0,"N",0,"Urban",6,14,112685,51,"not_white_collar"
"0",0,0,"N","Y","F","PhD",36,"Private",18000,1,"SUV","N",19217,2,"Y",3,"Urban",17,12,114986,50,"white_collar"
"1",0,1,"Y","N","F","Bachelors",46,"Commercial",17430,1,"Sports Car","N",0,0,"N",0,"Urban",7,12,125301,34,"not_white_collar"
"0",0,0,"N","Y","F","High School",33,"Private",8780,1,"SUV","N",0,0,"N",0,"Urban",1,12,18755,54,"not_white_collar"
"1",1,2,"N","Y","M","Bachelors",44,"Commercial",16970,1,"Van","Y",2374,1,"Y",10,"Urban",7,13,107961,37,"not_white_collar"
"1",0,0,"N","N","F","Bachelors",34,"Private",11200,1,"SUV","N",0,0,"N",0,"Urban",1,10,62978,34,"not_white_collar"
"0",0,0,"N","N","M","Bachelors",48,"Commercial",18510,7,"Van","N",0,0,"N",1,"Rural",17,7,106952,50,"white_collar"
"1",0,0,"N","N","F","Masters",15,"Private",18300,1,"Sports Car","N",0,0,"N",0,"Urban",11,14,77100,53,"white_collar"
"0",0,0,"N","Y","F","Masters",36,"Private",22420,7,"Minivan","N",0,0,"N",0,"Rural",1,5,52642,43,"white_collar"
"0",0,0,"N","Y","M","Bachelors",25,"Commercial",17600,7,"Van","Y",5028,2,"Y",3,"Urban",9,11,59162,55,"not_white_collar"
"1",0,0,"N","N","M","PhD",64,"Commercial",28340,6,"Panel Truck","Y",0,0,"N",3,"Urban",10,11,130795,53,"not_white_collar"
"1",0,0,"N","Y","F","High School",48,"Private",6000,1,"SUV","N",0,0,"N",3,"Urban",5,0,0,45,"not_white_collar"
"0",0,3,"Y","N","F","Bachelors",43,"Private",10590,6,"SUV","N",0,0,"N",0,"Rural",13,12,51884,39,"not_white_collar"
"0",0,0,"N","Y","M","Masters",42,"Private",14190,6,"Minivan","N",0,0,"N",0,"Urban",16,11,59945,42,"white_collar"
