"index","target_flag","target_amt","kidsdriv","homekids","parent1","mstatus","sex","education","job","travtime","car_use","bluebook","tif","car_type","red_car","oldclaim","clm_freq","revoked","mvr_pts","urbanicity","car_age","home_val","yoj","income","age"
1,"0",0,0,0,"N","N","M","PhD","Professional",14,"Private",14230,11,"Minivan","Y",4461,2,"N",3,"Urban",18,0,11,67349,60
2,"0",0,0,0,"N","N","M","High School","Blue Collar",22,"Commercial",14940,1,"Minivan","Y",0,0,"N",0,"Urban",1,257252,11,91449,43
4,"0",0,0,1,"N","Y","F","High School","Clerical",5,"Private",4010,4,"SUV","N",38690,2,"N",3,"Urban",10,124191,10,16039,35
5,"0",0,0,0,"N","Y","M","High School","Blue Collar",32,"Private",15440,7,"Minivan","Y",0,0,"N",0,"Urban",6,306251,14,112685,51
6,"0",0,0,0,"N","Y","F","PhD","Doctor",36,"Private",18000,1,"SUV","N",19217,2,"Y",3,"Urban",17,243925,12,114986,50
7,"1",2946,0,1,"Y","N","F","Bachelors","Blue Collar",46,"Commercial",17430,1,"Sports Car","N",0,0,"N",0,"Urban",7,0,12,125301,34
8,"0",0,0,0,"N","Y","F","High School","Blue Collar",33,"Private",8780,1,"SUV","N",0,0,"N",0,"Urban",1,115330,12,18755,54
11,"1",4021,1,2,"N","Y","M","Bachelors","Blue Collar",44,"Commercial",16970,1,"Van","Y",2374,1,"Y",10,"Urban",7,333680,13,107961,37
12,"1",2501,0,0,"N","N","F","Bachelors","Clerical",34,"Private",11200,1,"SUV","N",0,0,"N",0,"Urban",1,0,10,62978,34
13,"0",0,0,0,"N","N","M","Bachelors","Professional",48,"Commercial",18510,7,"Van","N",0,0,"N",1,"Rural",17,0,7,106952,50
14,"1",6077,0,0,"N","N","F","Masters","Lawyer",15,"Private",18300,1,"Sports Car","N",0,0,"N",0,"Urban",11,0,14,77100,53
15,"0",0,0,0,"N","Y","F","Masters","Professional",36,"Private",22420,7,"Minivan","N",0,0,"N",0,"Rural",1,209970,5,52642,43
16,"0",0,0,0,"N","Y","M","Bachelors","Manager",25,"Commercial",17600,7,"Van","Y",5028,2,"Y",3,"Urban",9,180232,11,59162,55
17,"1",1267,0,0,"N","N","M","PhD",NA,64,"Commercial",28340,6,"Panel Truck","Y",0,0,"N",3,"Urban",10,0,11,130795,53
