"target_flag","kidsdriv","homekids","parent1","mstatus","sex","education","travtime","car_use","tif","red_car","clm_freq","revoked","mvr_pts","urbanicity","home_val","yoj","income","age","job"
"0","N",0,"N","N","M","PhD",14,"Private",11,"Y",2,"N",3,"Urban",0,11,67349,60,"Professional"
"0","N",0,"N","N","M","High School",22,"Commercial",1,"Y",0,"N",0,"Urban",257252,11,91449,43,"Blue Collar"
"0","N",1,"N","Y","F","High School",5,"Private",4,"N",2,"N",3,"Urban",124191,10,16039,35,"Professional"
"0","N",0,"N","Y","M","High School",32,"Private",7,"Y",0,"N",0,"Urban",306251,14,112685,51,"Blue Collar"
"0","N",0,"N","Y","F","PhD",36,"Private",1,"N",2,"Y",3,"Urban",243925,12,114986,50,"Professional"
"1","N",1,"Y","N","F","Bachelors",46,"Commercial",1,"N",0,"N",0,"Urban",0,12,125301,34,"Blue Collar"
"0","N",0,"N","Y","F","High School",33,"Private",1,"N",0,"N",0,"Urban",115330,12,18755,54,"Blue Collar"
"1","Y",2,"N","Y","M","Bachelors",44,"Commercial",1,"Y",1,"Y",10,"Urban",333680,13,107961,37,"Blue Collar"
"1","N",0,"N","N","F","Bachelors",34,"Private",1,"N",0,"N",0,"Urban",0,10,62978,34,"Professional"
"0","N",0,"N","N","M","Bachelors",48,"Commercial",7,"N",0,"N",1,"Rural",0,7,106952,50,"Professional"
"1","N",0,"N","N","F","Masters",15,"Private",1,"N",0,"N",0,"Urban",0,14,77100,53,"Professional"
"0","N",0,"N","Y","F","Masters",36,"Private",7,"N",0,"N",0,"Rural",209970,5,52642,43,"Professional"
"0","N",0,"N","Y","M","Bachelors",25,"Commercial",7,"Y",2,"Y",3,"Urban",180232,11,59162,55,"Professional"
"1","N",0,"N","N","M","PhD",64,"Commercial",6,"Y",0,"N",3,"Urban",0,11,130795,53,"Blue Collar"
"1","N",0,"N","Y","F","High School",48,"Private",1,"N",0,"N",3,"Urban",106859,0,0,45,"Professional"
"0","N",3,"Y","N","F","Bachelors",43,"Private",6,"N",0,"N",0,"Rural",180951,12,51884,39,"Professional"
"0","N",0,"N","Y","M","Masters",42,"Private",6,"N",0,"N",0,"Urban",192207,11,59945,42,"Professional"
"0","N",3,"N","Y","F","Masters",27,"Private",7,"N",0,"N",0,"Urban",91875,13,34019,34,"Professional"
"0","N",2,"N","Y","F","High School",48,"Private",4,"N",0,"N",0,"Urban",93797,12,18903,31,"Professional"
"1","N",1,"N","Y","F","High School",29,"Commercial",6,"N",2,"N",0,"Urban",170598,13,44077,28,"Blue Collar"
"1","N",0,"N","Y","M","High School",52,"Commercial",1,"Y",0,"N",3,"Urban",177908,13,37214,43,"Blue Collar"
"0","N",0,"N","Y","F","Masters",36,"Private",6,"N",1,"N",5,"Urban",282904,14,96274,48,"Professional"
"0","N",0,"N","N","F","High School",29,"Private",10,"N",0,"N",1,"Urban",0,11,46281,47,"Blue Collar"
"0","Y",2,"N","Y","F","High School",8,"Private",6,"N",3,"N",0,"Urban",82344,0,0,44,"Professional"
"0","N",1,"N","Y","F","Bachelors",27,"Private",9,"N",0,"N",2,"Rural",225962,13,79606,33,"Professional"
"1","N",1,"N","Y","F","High School",26,"Private",1,"N",0,"N",0,"Urban",118160,9,31275,32,"Professional"
"0","Y",2,"N","Y","M","Bachelors",16,"Private",17,"N",0,"N",0,"Urban",219378,17,45488,44,"Professional"
"0","N",0,"N","N","F","Bachelors",26,"Private",6,"N",0,"N",3,"Urban",0,8,72193,35,"Professional"
"0","N",2,"N","Y","F","Masters",15,"Private",6,"N",2,"Y",4,"Rural",98777,0,8014,40,"Professional"
"0","N",0,"N","Y","M","Bachelors",30,"Private",1,"N",0,"N",1,"Urban",163444,5,49244,49,"Professional"
"0","N",0,"N","Y","F","Bachelors",37,"Private",4,"N",0,"N",1,"Urban",230340,8,51278,52,"Professional"
"0","N",0,"N","N","M","Masters",12,"Commercial",6,"N",2,"N",5,"Urban",286113,7,92842,41,"Professional"
"0","N",0,"N","Y","M","Bachelors",38,"Commercial",4,"Y",0,"N",0,"Urban",202839,10,35081,39,"Blue Collar"
"0","N",0,"N","Y","F","PhD",65,"Private",1,"N",0,"N",0,"Rural",63827,0,0,56,"Professional"
"0","N",0,"N","N","F","PhD",18,"Private",1,"N",0,"N",0,"Urban",311980,12,115044,49,"Professional"
